ID,Title,Author,Year,Format,Title
1,Nyanyian Hujan,Mukesh Tamrakar,2024,PDF,Ebook/Nyanyian Hujan_copy.pdf
2,Tarik Talinya!,Humayra Kabir,2024,PDF,Ebook/Tarik Talinya!_copy.pdf
3,Transportasi,Bookbot,2024,PDF,Ebook/Transportasi_copy.pdf
4,Kemana Monster Sungai Mengembara?,The Asia Foundation,2024,PDF,Ebook/Kemana Monster Sungai Mengembara?_copy.pdf
5,Aneh,Pratham Books,2024,PDF,Ebook/Aneh_copy.pdf
6,Aum, Aum, Dinosaurus!,Lavanya Naidu,2024,PDF,Ebook/Aum, Aum, Dinosaurus!_copy.pdf
7,Di Mana Gogo?,Soumya Menon,2024,PDF,Ebook/Di Mana Gogo?_copy.pdf
8,Jempol Anaya,Natasha Sharma,2024,PDF,Ebook/Jempol Anaya_copy.pdf
9,Menghitung,Zanele Buthelezi,2024,PDF,Ebook/Menghitung_copy.pdf
10,Monster Kakak,Bel Richardison,2024,PDF,Ebook/Monster Kakak_copy.pdf
11,Ringkasan Materi VR,Hanin aqila m,2025,PDF,Ebook/Ringkasan Materi VR_Hanin aqila m (13040123140092).pdf
